"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2429","login button exist","chromium","Thu Dec 05 09:59:21 GMT 2024","passed","Thu Dec 05 09:59:24 GMT 2024","example","example.spec.ts","",""
"","1810","test book title: Understanding ECMAScript 6","chromium","Thu Dec 05 09:59:31 GMT 2024","passed","Thu Dec 05 09:59:33 GMT 2024","parametrized tests","example.spec.ts","",""
"","1934","test book title: Learning JavaScript Design Patterns","chromium","Thu Dec 05 09:59:27 GMT 2024","passed","Thu Dec 05 09:59:29 GMT 2024","parametrized tests","example.spec.ts","",""
"","1923","test book title: Programming JavaScript Applications","chromium","Thu Dec 05 09:59:28 GMT 2024","passed","Thu Dec 05 09:59:30 GMT 2024","parametrized tests","example.spec.ts","",""
"","4115","test book title: Speaking JavaScript","chromium","Thu Dec 05 09:59:31 GMT 2024","passed","Thu Dec 05 09:59:35 GMT 2024","parametrized tests","example.spec.ts","",""
"","1828","test book title: You Don't Know JS","chromium","Thu Dec 05 09:59:26 GMT 2024","passed","Thu Dec 05 09:59:28 GMT 2024","parametrized tests","example.spec.ts","",""
"","1899","mocked one book","chromium","Thu Dec 05 09:59:21 GMT 2024","passed","Thu Dec 05 09:59:23 GMT 2024","example","example.spec.ts","",""
"","4406","login","chromium","Thu Dec 05 09:59:17 GMT 2024","passed","Thu Dec 05 09:59:21 GMT 2024","example","example.spec.ts","",""
"","1","login title","chromium","Thu Dec 05 09:59:16 GMT 2024","skipped","Thu Dec 05 09:59:16 GMT 2024","example","example.spec.ts","",""
"","4490","failed login","chromium","Thu Dec 05 09:59:17 GMT 2024","passed","Thu Dec 05 09:59:21 GMT 2024","example","example.spec.ts","",""
"","10","failing test","chromium","Thu Dec 05 09:59:25 GMT 2024","failed","Thu Dec 05 09:59:25 GMT 2024","example","example.spec.ts","",""
"","1945","test book title: Eloquent JavaScript, Second Edition","chromium","Thu Dec 05 09:59:30 GMT 2024","passed","Thu Dec 05 09:59:31 GMT 2024","parametrized tests","example.spec.ts","",""
"","1823","test book title: Designing Evolvable Web APIs with ASP.NET","chromium","Thu Dec 05 09:59:29 GMT 2024","passed","Thu Dec 05 09:59:31 GMT 2024","parametrized tests","example.spec.ts","",""
"","2624","second tab","chromium","Thu Dec 05 09:59:23 GMT 2024","passed","Thu Dec 05 09:59:26 GMT 2024","example","example.spec.ts","",""
"","2117","test book title: Git Pocket Guide","chromium","Thu Dec 05 09:59:25 GMT 2024","passed","Thu Dec 05 09:59:27 GMT 2024","parametrized tests","example.spec.ts","",""
